,nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
84,MARCALLO CON CASONE,-0.0366,-0.0366,-0.0366,-0.0366,-0.0318,-0.0318,-0.0318,-0.0318,-0.0314,-0.0314,-0.0314,-0.0314,-0.0321,-0.0321,-0.0321,-0.0321
85,MASATE,-0.0108,-0.0108,-0.0108,-0.0108,-0.0116,-0.0116,-0.0116,-0.0116,-0.0114,-0.0114,-0.0114,-0.0114,-0.0111,-0.0111,-0.0111,-0.0111
86,MEDIGLIA,-0.1282,-0.1282,-0.1282,-0.1282,-0.1364,-0.1364,-0.1364,-0.1364,-0.1321,-0.1321,-0.1321,-0.1321,-0.1246,-0.1246,-0.1246,-0.1246
87,MELEGNANO,-0.064,-0.064,-0.064,-0.064,-0.0674,-0.0674,-0.0674,-0.0674,-0.0641,-0.0641,-0.0641,-0.0641,-0.0583,-0.0583,-0.0583,-0.0583
88,MELZO,-0.1468,-0.1468,-0.1468,-0.1468,-0.1461,-0.1461,-0.1461,-0.1461,-0.1407,-0.1407,-0.1407,-0.1407,-0.15,-0.15,-0.15,-0.15
89,MERLINO,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091,-0.0091
90,MESERO,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0086,-0.0086,-0.0086,-0.0086,-0.0087,-0.0087,-0.0087,-0.0087
91,MILANO,-9.0822,-9.302,-9.1466,-9.0059,-9.2379,-9.624,-9.9034,-9.2954,-9.1407,-9.3816,-9.4716,-9.2925,-9.301,-9.56,-9.6545,-9.0963
92,MONTANASO LOMBARDO,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
93,MONZA,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253,-0.253
94,MORIMONDO,-0.009,-0.009,-0.009,-0.009,-0.0103,-0.0103,-0.0103,-0.0103,-0.0102,-0.0102,-0.0102,-0.0102,-0.0128,-0.0128,-0.0128,-0.0128
95,MUGGIO`,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388,-0.0388
96,MULAZZANO,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652,-0.0652
97,NERVIANO,-0.119,-0.119,-0.119,-0.119,-0.1158,-0.1158,-0.1158,-0.1158,-0.1109,-0.1109,-0.1109,-0.1109,-0.1091,-0.1091,-0.1091,-0.1091
98,NOSATE,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
99,NOVA MILANESE,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
100,NOVATE MILANESE,-0.0781,-0.0781,-0.0781,-0.0781,-0.0818,-0.0818,-0.0818,-0.0818,-0.08,-0.08,-0.08,-0.08,-0.0785,-0.0785,-0.0785,-0.0785
101,NOVIGLIO,-0.0264,-0.0264,-0.0264,-0.0264,-0.0264,-0.0264,-0.0264,-0.0264,-0.0255,-0.0255,-0.0255,-0.0255,-0.0279,-0.0279,-0.0279,-0.0279
102,OPERA,-0.0906,-0.0906,-0.0906,-0.0906,-0.0896,-0.0896,-0.0896,-0.0896,-0.0898,-0.0898,-0.0898,-0.0898,-0.0929,-0.0929,-0.0929,-0.0929
103,ORIGGIO,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127,-0.1127
104,ORNAGO,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035
105,OSSONA,-0.0076,-0.0076,-0.0076,-0.0076,-0.0078,-0.0078,-0.0078,-0.0078,-0.0074,-0.0074,-0.0074,-0.0074,-0.01,-0.01,-0.01,-0.01
106,OZZERO,-0.0088,-0.0088,-0.0088,-0.0088,-0.012,-0.012,-0.012,-0.012,-0.0112,-0.0112,-0.0112,-0.0112,-0.0074,-0.0074,-0.0074,-0.0074
107,PADERNO DUGNANO,-0.16,-0.16,-0.16,-0.16,-0.3671,-0.3671,-0.3671,-0.3671,-0.1602,-0.1602,-0.1602,-0.1602,-0.1614,-0.1614,-0.1614,-0.1614
108,PANTIGLIATE,-0.047,-0.047,-0.047,-0.047,-0.0491,-0.0491,-0.0491,-0.0491,-0.048,-0.048,-0.048,-0.048,-0.0537,-0.0537,-0.0537,-0.0537
109,PARABIAGO,-0.0215,-0.0215,-0.0215,-0.0215,-0.0245,-0.0245,-0.0245,-0.0245,-0.0124,-0.0124,-0.0124,-0.0124,-0.0179,-0.0179,-0.0179,-0.0179
110,PAULLO,-0.1272,-0.1272,-0.1272,-0.1272,-0.1266,-0.1266,-0.1266,-0.1266,-0.1247,-0.1247,-0.1247,-0.1247,-0.1226,-0.1226,-0.1226,-0.1226
111,PERO,-0.1053,-0.1053,-0.1053,-0.1053,-0.0992,-0.0992,-0.0992,-0.0992,-0.1088,-0.1088,-0.1088,-0.1088,-0.1066,-0.1066,-0.1066,-0.1066
112,PESCHIERA BORROMEO,-0.1329,-0.1329,-0.1329,-0.1329,-0.1267,-0.1267,-0.1267,-0.1267,-0.1289,-0.1289,-0.1289,-0.1289,-0.135,-0.135,-0.135,-0.135
