nome_com;default_Q_SP1;default_Q_SP2;default_Q_SP3;default_Q_SP4;default_Q_SP5;default_Q_SP6;default_Q_SP7;default_Q_SP8;default_Q_SP9;default_Q_SP10;default_Q_SP11;default_Q_SP12;default_Q_SP13;default_Q_SP14;default_Q_SP15;default_Q_SP16;default_Q_SP17;default_Q_SP18;default_Q_SP19;default_Q_SP20
CERRO MAGGIORE;-0.0198;-0.0198;-0.0198;-0.0198;-0.0196;-0.0196;-0.0196;-0.0196;-0.0174;-0.0174;-0.0174;-0.0174;-0.0186;-0.0186;-0.0186;-0.0186;-0.0176;-0.0176;-0.0176;-0.0176
CERVIGNANO D`ADDA;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111
CESANO BOSCONE;-0.0873;-0.0873;-0.0873;-0.0873;-0.0809;-0.0809;-0.0809;-0.0809;-0.0794;-0.0794;-0.0794;-0.0794;-0.0866;-0.0866;-0.0866;-0.0866;-0.085;-0.085;-0.085;-0.085
CESATE;-0.0118;-0.0118;-0.0118;-0.0118;-0.0099;-0.0099;-0.0099;-0.0099;-0.0049;-0.0049;-0.0049;-0.0049;-0.0074;-0.0074;-0.0074;-0.0074;-0.0062;-0.0062;-0.0062;-0.0062
CINISELLO BALSAMO;-0.295;-0.295;-0.295;-0.295;-0.2874;-0.2874;-0.2874;-0.2874;-0.2833;-0.2833;-0.2833;-0.2833;-0.2781;-0.2781;-0.2781;-0.2781;-0.2825;-0.2825;-0.2825;-0.2825
CISLIANO;-0.0391;-0.0391;-0.0391;-0.0391;-0.0398;-0.0398;-0.0398;-0.0398;-0.039;-0.039;-0.039;-0.039;-0.0401;-0.0401;-0.0401;-0.0401;-0.0367;-0.0367;-0.0367;-0.0367
COLOGNO MONZESE;-0.2194;-0.2194;-0.2194;-0.2194;-0.247;-0.247;-0.247;-0.247;-0.2438;-0.2438;-0.2438;-0.2438;-0.2482;-0.2482;-0.2482;-0.2482;-0.2635;-0.2635;-0.2635;-0.2635
COLTURANO;-0.0173;-0.0173;-0.0173;-0.0173;-0.0139;-0.0139;-0.0139;-0.0139;-0.0134;-0.0134;-0.0134;-0.0134;-0.0161;-0.0161;-0.0161;-0.0161;-0.0177;-0.0177;-0.0177;-0.0177
COMAZZO;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128
CONCOREZZO;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546
